type,cat_no,title_id,artist,title,label,distributor,release_date,subgenre,NRA,average_sales,exclusive,sales_from_previous_release,downloads,featured,review_status,approved,block_coming_soon,releases_3_months,releases_12_months,sales_3_months,sales_12_months,ranklabel,pre_order,pre_order_count,label_email_alerts,artist_email_alerts,,,
Single,DIS 193,6683889,Dizrupt,Barko EP,Dispatch Recordings,LabelWORX,19/07/2024 00:00,Drum & Bass,0,2.59,N,0,0,N,None,Y,Y,8,33,752.07,752.07,7,N,0,1097,1,,,
Single,NEW 610B ,6666012,Ku De Ta/CARLIE,Dance Alone,New State,New State Entertainment,19/07/2024 00:00,Funky/vocal/disco/club house,0,105.96,N,0,1,N,None,Y,N,21,48,1334.54,6016.05,8,N,0,190,4,,,
Single,TOYT169S 1,6642219,COEO,Nostalgia,Toy Tonics,!K7,15/07/2024 00:00,Deep house,0,89.95,N,0,0,N,None,Y,Y,33,47,688.9,3225.61,9,N,0,617,245,,,
Single,SHOTTA 119,6678021,SK/H3NRY,Lock And Load,Dub Shotta,Cygnus Music Ltd.,19/07/2024 00:00,Drum & Bass,1,160.46,N,36,0,N,None,Y,N,17,54,2914.37,8044.04,9,Y,0,123,3,,,
Single,ADDICT 132,6684892,Kalum,Rave About EP,Audio Addict,Cygnus Music Ltd.,19/07/2024 00:00,Drum & Bass,0,293.71,Y,22.98,0,Y,None,Y,N,2,12,282.7,1936.05,9,Y,0,226,18,,,
Single,5063549 026004,6693071,Empte/Woem,A Universal Collision,Ditto Music,Ditto Music Record Label Services,19/07/2024 00:00,Balearic/Downtempo,0,1.64,N,0,0,N,None,Y,N,574,6919,608.07,3652.27,10,N,0,246,0,,,
Single,TIN 059,6668421,Killjoy,Heat In The Dance,Time Is Now (UK),Sequence Sequence Limited,19/07/2024 00:00,UK Funky/4 4 Garage/2 Step,0,123.03,N,0,0,N,None,Y,N,8,19,645.67,3029.66,10,Y,0,120,70,,,
Album,5063549 178000,6696206,JENEROUS AYEBAZIBWE feat KAYESU BESTOWAL,Majesty,Ditto Music,Ditto Music Record Label Services,17/07/2024 00:00,Dancehall/Ragga/Reggaeton/Hiphop Remixes,0,1.64,N,0,0,N,None,Y,N,574,6919,608.07,3652.27,10,N,0,246,0,,,
Single,5063549 143701,6692745,imtech,Cambrils,Ditto Music,Ditto Music Record Label Services,13/07/2024 00:00,Experimental/Electronic,1,1.64,N,0,0,N,None,Y,N,574,6919,608.07,3652.27,10,N,0,246,1,,,
Single,TOOL1279/01Z ,6664789,Mark Knight/James Hurr,You Take Me Higher,Toolroom,Toolroom Records,19/07/2024 00:00,Funky/vocal/disco/club house,2,135.21,N,1.4,0,N,None,Y,N,17,53,1318.24,5053.63,10,Y,0,1002,165,,,
Single,5063413 693059,6472037,Carlos Fillol,Cosmic Ascension,Ditto Music,Ditto Music Record Label Services,19/07/2024 00:00,Experimental/Electronic,0,1.64,N,7.79,0,N,None,Y,N,574,6919,608.07,3652.27,10,N,0,246,0,,,
Single,5063549 140922,6692952,Dj Zaidsa,Nova Rec 3.0,Ditto Music,Ditto Music Record Label Services,14/07/2024 00:00,Funky/vocal/disco/club house,0,1.64,N,0,0,N,None,Y,N,574,6919,608.07,3652.27,10,N,0,246,0,,,
Single,EATBRAIN 188,6681181,State Of Mind/Coppa,Red Sky,Eatbrain,Triple Vision,19/07/2024 00:00,Drum & Bass,1,145.83,N,2.82,1,N,None,Y,N,8,27,1206.87,4269.3,11,Y,1,269,112,,,
Single,PRRUKBLK 106,6631037,ARKVS,Moment To Breath EP,Planet Rhythm,Triple Vision,19/07/2024 00:00,Techno,0,44.8,N,23.37,0,Y,Approved,Y,N,32,69,976.61,4336.17,11,N,0,434,6,,,
Single,DNZF 1719,6695572,T-Jay,Tribute To The 90s,DNZ,,16/07/2024 00:00,Scouse/bouncy house,0,41.88,Y,0.99,0,N,None,Y,N,20,64,548.62,2062.76,11,Y,0,487,79,,,
Single,BH 1493- 0,6657116,Dirkie Coetzee,Gates Of Elysian,Black Hole Holland,Black Hole Recordings,19/07/2024 00:00,Uplifting/progressive trance,0,31.64,N,0,0,N,None,Y,Y,55,158,1310.63,5501.72,11,Y,0,256,5,,,
Single,SPEAR 257,6644177,BCee/Lauren Archer,Lies,Spearhead,IDOL,19/07/2024 00:00,Drum & Bass,0,140.9,N,0,0,N,None,Y,Y,11,24,579.27,1911.29,11,Y,0,590,207,,,
Single,SPSERIES003A ,6609650,Toni Alvarez,The Renegade,Planet Rhythm,Triple Vision,19/07/2024 00:00,Techno,2,44.8,N,0,0,N,None,Y,N,32,69,976.61,4336.17,11,N,0,434,17,,,
Single,AUDAZ 224,6569154,Alkalino,Matwa,Audaz,Audaz,19/07/2024 00:00,Minimal/tech house,0,93.39,Y,2.59,0,N,None,Y,N,10,25,437.31,4101.89,11,Y,0,364,860,,,
Single,BH 1483- 0,6656933,Ferry Tayle/Tonks/Mirage,Resonate,Black Hole Holland,Black Hole Recordings,19/07/2024 00:00,Uplifting/progressive trance,0,31.64,N,1.12,0,N,None,Y,Y,55,158,1310.63,5501.72,11,Y,0,256,22,,,
Single,SPSERIES003B ,6609651,Toni Alvarez,The Jam,Planet Rhythm,Triple Vision,19/07/2024 00:00,Techno,2,44.8,N,0,0,N,None,Y,N,32,69,976.61,4336.17,11,N,0,434,17,,,
Compilation,LWIDG 22,6677648,Various,"Indie Dance Grooves, Vol 22",LW Recordings,LabelWORX,15/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Compilation,LWUHOUSE 25,6678281,Various,"Underground House, Vol 25",LW Recordings,LabelWORX,15/07/2024 00:00,Funky/vocal/disco/club house,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Compilation,LWSIMPLYD 22,6683724,Various,"Simply Dance, Vol 22",LW Recordings,LabelWORX,19/07/2024 00:00,Euro/pop dance,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Compilation,LWKID 22,6678284,Various,"Keep It Disco, Vol 22",LW Recordings,LabelWORX,15/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Single,RW 255,6682881,Irregular Disco Workers,Dance Like A Freak,Rare Wiri Spain,Prime Direct Distribution,15/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,79.71,N,1.12,0,N,None,Y,N,17,55,606.88,3226.32,12,N,0,210,21,,,
Compilation,LWELB 25,6683737,Various,"Essential Leftfield Bass, Vol 25",LW Recordings,LabelWORX,19/07/2024 00:00,Experimental/Electronic,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Compilation,LWDHS 30,6683741,Various,"Deep House Selections, Vol 30",LW Recordings,LabelWORX,19/07/2024 00:00,Deep house,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Compilation,LWTRA 30,6683740,Various,"Trance Anthems, Vol 30",LW Recordings,LabelWORX,19/07/2024 00:00,Uplifting/progressive trance,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Compilation,LWKISOUL 22,6681704,Various,"Keep It Soulful, Vol 22",LW Recordings,LabelWORX,17/07/2024 00:00,Funky/vocal/disco/club house,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Compilation,LWTSOM 22,6683732,Various,"The Sound Of Mainstage, Vol 22",LW Recordings,LabelWORX,19/07/2024 00:00,Electro house/electroclash,0,13.81,N,0,0,N,None,Y,Y,146,493,1025.19,3988.47,12,N,0,262,,,,
Single,361766 0312434,6687828,D33pSoul,Lili Twil,Believe International,Believe International,19/07/2024 00:00,Deep house,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,2,,,
Single,361766 0141102,6685222,Mr. Gun/Dony,Dreams,Believe International,Believe International,19/07/2024 00:00,Euro/pop dance,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Single,AL 095,6695999,Mind Against/Sideral,Colossal,Afterlife,MTN Muting The Noise GmbH,19/07/2024 00:00,Minimal/tech house,0,217.53,N,58.37,0,N,None,Y,Y,4,16,879.37,4585.17,13,Y,0,263,74,,,
Single,MIDRIOTD 505,6672351,Sammy Deuce,The Squeeze,Midnight Riot,Believe International,19/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,110.53,N,0,0,N,None,Y,Y,21,67,513.85,2205.25,13,Y,0,932,7,,,
Single,361766 0119460,6684587,Zaracz,Sun Goes Down,Believe International,Believe International,19/07/2024 00:00,Drum & Bass,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Single,859023 3086190,6591612,Tomas Herudek,Brutally Honest,Believe International,Believe International,16/07/2024 00:00,Rock,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Single,361766 0011689,6686199,ROKAR,Pain,Believe International,Believe International,19/07/2024 00:00,UK Funky/4 4 Garage/2 Step,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Single,WTSGDSX ,6674039,lucidbeatz/Enny-Mae,When The Sun Goes Down,Believe International,Believe International,19/07/2024 00:00,Drum & Bass,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Single,CALI 002,6694216,Caliburnus,Graceland,Believe International,Believe International,19/07/2024 00:00,Balearic/Downtempo,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Single,361738 5995844,6557301,Bill & Pecker feat Kurt Mundy,ECHOES,Believe International,Believe International,19/07/2024 00:00,Indie/Alternative,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Single,3617389 703445,6671160,Klangphonics/Anna Metko,You And Me (We Owned It),Believe International,Believe International,19/07/2024 00:00,Progressive house,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,5,,,
Single,3617387 244971,6597478,VEXR,Spaces,Believe International,Believe International,19/07/2024 00:00,Balearic/Downtempo,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Album,AFP,6674044,Canello,The Album (Radio Mix),Believe International,Believe International,19/07/2024 00:00,Pop,0,5.58,N,0,0,N,None,Y,Y,374,1078,582.58,2731.78,13,N,0,48,0,,,
Single,406724 8517963,6640812,Kalane,Backrooms,Delta9 Recordings,Dance All Day Musicvertriebs GmbH,19/07/2024 00:00,Drum & Bass,1,89.39,N,9.15,0,N,None,Y,N,8,23,251.9,1142.22,14,Y,0,141,4,,,
Single,BBASS 197,6686961,DJ Zinc/Mia Kirkland,Leave It All Behind,Bingo Bass,IDOL,17/07/2024 00:00,Drum & Bass,0,43.77,N,0,0,N,None,Y,Y,5,15,342.84,1562.42,15,N,0,143,188,,,
Single,CHEEK 694,6684141,David Marsh/Niki J,Let It Feel,Cheeky Tracks,LabelWORX,19/07/2024 00:00,Hard house,0,22.89,N,0,0,N,None,Y,N,23,78,320.25,1826.43,15,Y,0,268,0,,,
Single,TECH 272,6672867,Drumsound & Bassline Smith,Junglist Selector,Technique Recordings,IDOL,19/07/2024 00:00,Drum & Bass,0,120.75,N,39.58,0,N,None,Y,Y,7,19,494.52,1685.02,15,Y,0,164,125,,,
Single,SE 1179,6675908,House Clan,La Nova Groove,Sound Exhibitions,LabelWORX,14/07/2024 00:00,Deep house,0,24.2,N,0,0,N,None,Y,N,36,144,452.53,2311.35,15,Y,0,193,2,,,
Compilation,CHEEKA 99,6684152,Various,Ibiza Pumping House,Cheeky Tracks,LabelWORX,19/07/2024 00:00,Hard house,0,22.89,N,0,0,N,None,Y,N,23,78,320.25,1826.43,15,Y,0,268,,,,
Single,JAL 459,6643430,Sam Redmore feat Lumi HD,What Would You Do?,Jalapeno,IDOL,19/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,72.69,N,0,0,N,None,Y,Y,11,39,406.61,1898.91,16,N,0,1046,0,,,
Single,BED60RMX 24,6683973,John Digweed/Nick Muir,Santiago 2024 Remixes,Bedrock,LabelWORX,19/07/2024 00:00,Funky/vocal/disco/club house,0,8.37,N,0,1,N,None,Y,N,10,31,579.56,2881.74,16,Y,1,654,210,,,
Single,ICP 770,6691259,The Smoke Orchestra,Henrietta Leavitt And The Cepheids Variables,IRMA Italy,Dipiu Italy,19/07/2024 00:00,Broken Beat/Nu Jazz,0,10.77,N,0,0,N,None,Y,N,72,201,868.31,2494.12,16,N,0,166,1,,,
Single,ICP 768,6691261,Tamashi Pigiama,If You Wanna Go,IRMA Italy,Dipiu Italy,19/07/2024 00:00,Broken Beat/Nu Jazz,0,10.77,N,0,0,N,None,Y,N,72,201,868.31,2494.12,16,N,0,166,0,,,
Single,RS 24LP001S1,6690224,Paul White,First Sight,R&S,Believe International,19/07/2024 00:00,Coldwave/Synth,0,86.09,N,0,0,N,None,Y,Y,9,17,843.26,2358.76,16,N,0,1321,11,,,
Single,ICP 764,6691260,Arianna Finelli feat Irene Rugiero,The Saturday Morning Stride,IRMA Italy,Dipiu Italy,19/07/2024 00:00,Pop,0,10.77,N,0,0,N,None,Y,N,72,201,868.31,2494.12,16,N,0,166,0,,,
Single,MTTR 028,6685231,Melysma,Roots Control,DARKMTTR,Believe International,19/07/2024 00:00,Drum & Bass,0,192.09,N,70.67,0,N,None,Y,Y,4,10,311.72,2125.54,16,N,0,53,8,,,
Single,HE 096,6683750,Will Carrera/Hehn,Nightscape,Hardcore Energy,LabelWORX,19/07/2024 00:00,UK/old school/happy hardcore/nu rave,0,98.92,N,0,0,N,None,Y,N,6,20,602.83,2776.09,16,Y,0,75,0,,,
Single,KOMPAKT CD 182 S 1,6689334,Michael Mayer,Urian,Kompakt Germany,Kompakt,19/07/2024 00:00,Electro house/electroclash,0,120.91,N,0,0,N,None,Y,N,11,30,514.17,2280.56,16,N,0,2146,77,,,
Single,GPM 772,6683871,Kostakis/Birds of Mind,The Taking (Birds Of Mind Remix),Get Physical Music,LabelWORX,19/07/2024 00:00,Funky/vocal/disco/club house,1,4.82,N,0,0,N,None,Y,N,23,57,575.23,2331.51,16,Y,0,61,1,,,
Single,DBR0002S 04,6660127,Danielle Bradbery,Windows,IIP-DDS,IIP-DDS,19/07/2024 00:00,Pop,0,11.76,N,0,0,N,None,Y,Y,57,278,296.55,1443.78,17,N,0,17,0,,,
Single,SPA 349,6662462,Ken@Work,Bilbao Groove,Spa In Disco,Believe International,19/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,16.73,N,0,0,N,None,Y,Y,19,59,206.69,1281.6,17,Y,0,126,39,,,
Compilation,FSOEDC 057,6682214,Various,FSOE Summer Selection,FSOE,LabelWORX,17/07/2024 00:00,Uplifting/progressive trance,1,18.72,N,0,2,N,None,Y,N,29,99,379.18,1871.5,17,Y,2,106,,,,
Single,68101,6672970,Opinash,On Repeat,IIP-DDS,IIP-DDS,19/07/2024 00:00,Pop,0,11.76,N,0,0,N,None,Y,Y,57,278,296.55,1443.78,17,N,0,17,0,,,
Single,SPA 350,6662459,Naviberg,Muovt Wuaglio,Spa In Disco,Believe International,19/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,16.73,N,0,0,N,None,Y,Y,19,59,206.69,1281.6,17,Y,0,126,0,,,
Single,FSOE 817,6683846,Paul Denton,The Code,FSOE,LabelWORX,19/07/2024 00:00,Uplifting/progressive trance,0,18.72,N,16.5,0,N,None,Y,N,29,99,379.18,1871.5,17,Y,0,106,15,,,
Single,178001 254057,6693451,Amor feat Kgosi Meleke,Money Maker,IIP-DDS,IIP-DDS,18/07/2024 00:00,Dancehall/Ragga/Reggaeton/Hiphop Remixes,0,11.76,N,0,0,N,None,Y,Y,57,278,296.55,1443.78,17,N,0,17,0,,,
Single,REV 017,6678245,Revival/Kathy Brown,Dance To The Music,IIP-DDS,IIP-DDS,19/07/2024 00:00,Funky/vocal/disco/club house,0,11.76,N,0,0,N,None,Y,Y,57,278,296.55,1443.78,17,N,0,17,6,,,
Single,JJ 090,6687219,DJ Kaos,Dirty Ape Trance,Jolly Jams,WAS Word And Sound Medien GmbH,19/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,152.93,N,39.92,0,Y,None,Y,Y,2,6,724.1,2929.44,17,N,0,178,88,,,
Single,FSOE 816,6677614,Frank Dueffel,Sky In Flames,FSOE,LabelWORX,15/07/2024 00:00,Uplifting/progressive trance,0,18.72,N,0,0,N,None,Y,N,29,99,379.18,1871.5,17,Y,0,106,4,,,
Single,361738 9819399,6673820,Phoebos,Move On,GS Dubs,Believe International,19/07/2024 00:00,UK Funky/4 4 Garage/2 Step,0,41,N,0,0,N,None,Y,Y,10,41,284.45,1353.23,17,Y,0,54,0,,,
Single,CAT 1091915,6670300,Johnny Cosmic,Demons Dancing (Explicit),Symphonic Distribution,Symphonic Distribution LLC,19/07/2024 00:00,Balearic/Downtempo,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,Y,0,94,0,,,
Single,JU 007,6656157,JCH UP,Feel Alive,Symphonic Distribution,Symphonic Distribution LLC,15/07/2024 00:00,Deep house,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,0,,,
Single,CAT 1085166,6662914,Villows,Believe,Symphonic Distribution,Symphonic Distribution LLC,19/07/2024 00:00,Minimal/tech house,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,0,,,
Single,SIG 0032024,6682652,Calibre,Trust / Waiting (2024 Remasters),Signature,Triple Vision,19/07/2024 00:00,Drum & Bass,2,488.17,N,0,0,N,None,Y,N,4,5,218.06,1843.71,18,N,0,215,1587,,,
Single,JU 008,6659475,JCH UP,In The Club,Symphonic Distribution,Symphonic Distribution LLC,19/07/2024 00:00,Euro/pop dance,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,0,,,
Single,BBE 763EDG,6672726,musclecars,Double Honey Pack (Explicit),BBE Music,The Orchard,19/07/2024 00:00,Funky/vocal/disco/club house,4,34.11,N,1.09,0,Y,None,Y,Y,6,14,390.54,1276.67,18,Y,0,80,9,,,
Single,CAT 1087549,6666493,Mean ideal,Invaders From Bass (Remastered 2024),Symphonic Distribution,Symphonic Distribution LLC,13/07/2024 00:00,Techno,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,0,,,
Single,CAT 1103793,6692492,Sixsense/SilentBreakers,Meeting From Mars,Symphonic Distribution,Symphonic Distribution LLC,15/07/2024 00:00,Psychedelic trance/goa trance,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,Y,0,94,8,,,
Single,AN 0111,6679172,Aurora Night,Take Me,Symphonic Distribution,Symphonic Distribution LLC,19/07/2024 00:00,Dirty/Heavy Dubstep/Grime,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,7,,,
Single,361738 9819412,6673818,Ashdunn,Light The Fire,Garage Shared,Believe International,19/07/2024 00:00,UK Funky/4 4 Garage/2 Step,0,34.79,N,0,0,N,None,Y,Y,16,54,291.69,1205.48,18,Y,0,71,3,,,
Single,JU 012,6663712,JCH UP,Got The Groove,Symphonic Distribution,Symphonic Distribution LLC,17/07/2024 00:00,Funky/vocal/disco/club house,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,0,,,
Single,JU 011,6661661,JCH UP,Dance Until The Break Of Dawn,Symphonic Distribution,Symphonic Distribution LLC,13/07/2024 00:00,Euro/pop dance,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,0,,,
Single,CAT 1090981,6677130,Earmake,Warp Jump,Symphonic Distribution,Symphonic Distribution LLC,19/07/2024 00:00,Progressive house,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,0,,,
Single,CAT 1089089,6668892,Sparkee/Neon NiteClub,U Gotta Dance,Symphonic Distribution,Symphonic Distribution LLC,19/07/2024 00:00,Pop,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,1,,,
Single,TDR 387,6673974,Shabi,That's My Bebop / Wild Boogie,Tropical Disco,MN2S,19/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,19.57,N,0,0,N,None,Y,N,17,56,241.74,1059.94,18,N,0,111,3,,,
Single,CAT 1080228,6653795,Hexaliohm,Om,Symphonic Distribution,Symphonic Distribution LLC,18/07/2024 00:00,Psychedelic trance/goa trance,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,N,0,94,1,,,
Single,CAT 1091060,6671688,Velazquez,Spin The Night (Satellite),Symphonic Distribution,Symphonic Distribution LLC,19/07/2024 00:00,Pop,0,2.72,N,0,0,N,None,Y,Y,349,1506,411.19,1725.43,18,Y,0,94,0,,,
Single,PERMVAC 331-1,6665569,Tech Support,Visions,Permanent Vacation,Believe International,19/07/2024 00:00,Disco/Nu Disco/Re-Edits,0,11.2,N,3.26,0,N,None,Y,Y,24,61,489.11,2037.01,18,N,0,1808,11,,,
Single,ZZZCDS 0812,6676570,Subnesia feat Chad Ashley,Our Friend Chad,Music For Dreams,The Orchard,16/07/2024 00:00,Deep house,0,44.01,N,0,0,N,None,Y,N,22,77,550.3,2088.64,18,Y,0,136,0,,,
